"id","imo","sector","destination","top1","score1","top2","score2","top3","score3","top4","score4","top5","score5"
"152596","9045132","TANKER","AU DAM","Dampier + AUDAM","91","Sauda + name","73","Dartmouth, N.S., Canada + CA DA","73","Yampi Sound + AUYAM","73","ABU DHABI + name","67"
"152598","9715488","DRY BULK","AU DAM","Dampier + AUDAM","91","Sauda + name","73","Dartmouth, N.S., Canada + CA DA","73","Yampi Sound + AUYAM","73","ABU DHABI + name","67"
"152610","9315707","TANKER","AU GLT","Gladstone, Qld., Australia + AUGLT","91","Launceston + AULST","73","Geraldton + AUGET","73","Cape Lambert + AUCLT","73","Go Dau + name","67"
"152625","9076258","CONTAINER","CM  DLA","Douala + CMDLA","91","Dartmouth, N.S., Canada + CA DA","73","Cai Lan + name","62","Cam Pha + name","62","Cezi Dao + name","57"
"152645","9792058","DRY","BR_PNG","Paranagua + BRPNG","91","Berong + name","67","Raoping + name","62","Boryeong + name","57","Bukpyung + name","57"
"152656","9549360","DRY BULK","KR MAS","Masan + KRMAS","91","Karatsu + name","62","Karumba + name","62","KIMANIS + name","62","Marcus Hook + name","59"
"152672","8865389","DRY BULK",">JP KRE","Kure + JPKRE&&>","91","Karatsu + JPKAR&&>","73","Hikari + JPHKR&&>","73","Kure + name&&>","60","Keret + name&&>","55"
"152675","9311593","DRY BULK","AU NTL","Newcastle + AUNTL","91","Northern Endeavour + AUNTE","73","Port Alma + AUPTL","73","Antalya + name","62","Antilla + name","62"
"152732","8864464","DRY","KR KUV","Gunsan + KRKUV","91","Korsakov + name","57","Turku + name","55","KWANGYANG + KRKWA","55","Okkye + KROKK","55"
"152749","9653109","OSV","MY PGU","Pasir Gudang + MYPGU","91","Phu My + name","83","Port Klang - Pelabuhan Ultra - North Port + MYPKG","73","Pengerang + MYPGG","73","Tallaboa Bay + 	PRGU","60"
"152772","9668128","DRY BULK","HK HKG","Hong Kong + HKHKG","91","Hungnam + KPHGM","55","Khanom + THKHA","55","Koge + DKKOG","55","Kharg Island + IRKHK","55"
"152904","9545223","OSV","AU BNE","Brisbane + AUBNE","91","Northern Endeavour + AUNTE","73","Bell Bay + AUBEL","73","Broome + AUBME","73","Sabine + name","67"
"152914","9714343","DRY","MY PKG","Port Klang - Pelabuhan Ultra - North Port + MYPKG","91","Pengerang + MYPGG","73","Pasir Gudang + MYPGU","73","Phu My + name","67","Tanjung Manis + MYTMP","55"
"152920","9437983","TANKER","SG SIN > KR TSN","Daesan + KRTSN&&>","91","Taean + KRTAN&&>","73","Ulsan + KRUSN&&>","73","Karatsu + name&&>","62","Kherson + name&&>","62"
"152922","9696400","DRY BULK","CN NTG","Nantong + CNNTG","91","Shantou + CNSTG","73","Nanjing + CNNJG","73","JINGTANG + CNJTG","73","Yantai + CNYNT","73"
"152955","8740137","DRY BULK","CN SHD","Shidao + CNSHD","91","Shanghai + CNSHG","73","Shekou + CNSHK","73","Shuidong + CNSDG","73","Qinhuangdao + CNSHP","73"
"153004","9341330","TANKER","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"153034","9455739","TANKER","SIN SG","Singapore + SGSIN","91","Bassein + name","62","Messina + name","62","Es Sider + name","57","Nghi Son + name","57"
"153035","9192129","DRY BULK","FR MRS","Marseilles + FRMRS","91","Ambes + FRAMS","73","Kramfors + name","57","Marmaris + name","57","Primorsk + name","57"
"153041","9162186","TANKER","PGU MY","Pasir Gudang + MYPGU","91","Phu My + name","83","Port Klang - Pelabuhan Ultra - North Port + MYPKG","73","Pengerang + MYPGG","73","Tallaboa Bay + 	PRGU","60"
"153204","9364538","OSV","DKSKAW","Skagen + DKSKA","91","SKAW + name","80","Kiska + name","73","Kalundborg + DKKAL","73","Skaerbaek + DKSKB","73"
"153268","9567726","DRY BULK","DE KEL","Kiel + DEKEL","91","Brake + DEBKE","73","Dhekelia + name","71","Den Helder + name","62","Kiel + name","60"
"153283","9317901","OSV","NL RTM","Rotterdam + NLRTM","91","Port Gentil + name","59","Le Trait + name","57","Port Angeles + name","56","Port Lincoln + name","56"
"153312","9174775","DRY BULK","BR_VDC","Vila do Conde + BRVDC","91","Brodick + name","62","Villa Constitucion + ARVCN","55","Cabedelo + BRCDO","55","Chittagong + BDCGP","55"
"153504","9826641","OSV","JP KRE","Kure + JPKRE","91","Karatsu + JPKAR","73","Hikari + JPHKR","73","Kure + name","60","Keret + name","55"
"153575","9435076","DRY BULK","SG SIN","Singapore + SGSIN","91","Bassein + name","62","Messina + name","62","Es Sider + name","57","Nghi Son + name","57"
"153648","9084255","DRY","GR LAV","Lavrion + GRLAV","91","Aliveri Bay + GRLVR","73","Lavera + FRLAV","73","La Guaira + name","67","La Brea + name","62"
