port_code,port_name,country_code
GHTEM,Tema,GH
GIGIB,Gibraltar,GI
GRAGT,Agioi Theodoroi,GR
IRKHK,Kharg Island,IR
INSAL,Salaya,IN
MYSBW,Sibu,MY
GRASS,Aspropyrgos,GR
GRSKG,Thessaloniki,GR
DKKOL,Kolding,DK
GRVOL,Volos,GR
IDAMA,Amamapare,ID
NOBGO,Bergen,NO
GTPRQ,Puerto Quetzal,GT
GTSNJ,"San Jose, Guatemala",GT
GTSTC,Santo Tomas de Castilla,GT
HNPCR,Puerto Cortes,HN
DKKRR,Korsor,DK
FIPOR,Pori,FI
HNTEA,Tela,HN
DETRV,Travemunde,DE
IDAMQ,Ambon,ID
IDBDJ,Banjarmasin,ID
IDBIT,Bitung,ID
IDBLL,Blang Lancang,ID
ITGIT,Gioia Tauro,IT
ITGOA,Genoa - Avamporto,IT
IDBUA,Bula,ID
DKEBJ,Esbjerg,DK
TRGUL,Gulluk,TR
IDLUW,Luwuk,ID
IDPLM,Palembang,ID
IDPNJ,Panjang,ID
IDBYQ,Pulo Bunyu,ID
IDCIG,Cigading,ID
IDKAB,Kabil,ID
ITGAE,Gaeta,IT
DKFDH,Frederikshavn,DK
DKGED,Gedser,DK
IDKOE,Kupang,ID
IDKTJ,Kuala Tanjung,ID
IDLLA,Lawi Lawi,ID
GBLAH,Lamlash,GB
ITBDS,Brindisi,IT
ITSPE,La Spezia,IT
INMAA,Chennai (formerly Madras),IN
INMRM,Mormugao,IN
ITSVN,Savona,IT
ITTAR,Taranto,IT
ITTRS,Trieste,IT
IDPRO,Probolinggo,ID
DOSDQ,Santo Domingo,DO
GBLIT,Littlehampton,GB
IDPSS,Pulau Sambu,ID
IDPTL,Pantoloan,ID
NOEGD,Egersund,NO
IRLVP,Lavan Island,IR
JPSMT,Shimotsu,JP
SETRG,Trelleborg,SE
IDPUM,Pomalaa,ID
IDSBG,Sabang,ID
DKGRE,Grenaa,DK
INKAK,Kakinada,IN
